ID,County,City,Weekday,Severity,ViolCat,ClearWeather,Month,CrashType,Highway,Daylight
100171,ORANGE,HUNTINGTON BEACH,3,0,8,0,1,F,0,1
100172,SAN BERNARDINO,RANCHO CUCAMONGA,3,0,8,1,1,F,1,1
100173,LOS ANGELES,MONTEREY PARK,3,0,9,1,1,F,0,0
100174,STANISLAUS,UNINCORPORATED,6,0,8,1,1,F,1,0
100175,MERCED,UNINCORPORATED,6,0,3,0,1,F,1,0
100176,GLENN,UNINCORPORATED,6,0,3,1,1,F,0,1
100177,STANISLAUS,UNINCORPORATED,3,0,8,1,1,F,1,0
100178,HUMBOLDT,UNINCORPORATED,3,1,8,1,1,F,1,1
100179,MARIN,UNINCORPORATED,2,0,8,1,1,F,1,1
100180,LASSEN,UNINCORPORATED,2,0,3,1,1,F,0,1
100181,RIVERSIDE,TEMECULA,2,0,1,1,1,F,0,0
100182,ORANGE,RCHO SNTA MARGARITA,1,1,8,1,1,F,0,1
100183,SAN MATEO,UNINCORPORATED,7,0,1,1,2,F,1,0
100184,SAN MATEO,UNINCORPORATED,5,1,1,1,2,F,1,0
100185,FRESNO,UNINCORPORATED,5,0,3,0,1,F,0,0
100186,FRESNO,UNINCORPORATED,4,0,3,1,1,F,0,1
100187,SAN DIEGO,CARLSBAD,2,0,3,1,1,F,0,1
100188,SAN DIEGO,SAN DIEGO,1,0,3,1,1,F,0,1
100189,ORANGE,ANAHEIM,1,0,7,1,1,F,1,1
100190,LOS ANGELES,PALMDALE,3,0,8,1,1,F,0,1
100191,SAN DIEGO,SAN DIEGO,2,0,9,1,1,F,0,1
100192,ORANGE,NEWPORT BEACH,1,0,3,1,1,F,0,1
100193,SISKIYOU,UNINCORPORATED,7,0,1,1,1,F,0,1
100194,KERN,UNINCORPORATED,1,0,8,1,1,F,0,0
100195,MENDOCINO,UNINCORPORATED,1,0,3,1,1,F,0,1
100196,PLACER,UNINCORPORATED,2,0,1,1,1,F,0,0
100197,FRESNO,CLOVIS,6,0,9,1,1,F,0,1
100198,CALAVERAS,UNINCORPORATED,5,0,8,1,2,F,1,1
100199,TUOLUMNE,SONORA,4,0,8,1,1,F,1,1
100200,SAN BERNARDINO,ONTARIO,4,0,8,0,1,F,1,1
100201,LOS ANGELES,AZUSA,3,0,12,1,1,F,0,1
100202,ORANGE,SEAL BEACH,3,1,8,1,3,F,1,1
100203,SHASTA,UNINCORPORATED,6,1,1,1,2,F,0,0
100204,FRESNO,UNINCORPORATED,6,1,8,1,4,F,1,1
100205,SOLANO,FAIRFIELD,3,1,7,1,4,F,0,0
100206,VENTURA,UNINCORPORATED,7,1,8,1,4,F,1,1
100207,SAN JOAQUIN,UNINCORPORATED,1,1,8,1,3,F,1,1
100208,FRESNO,UNINCORPORATED,5,1,8,1,2,F,0,1
100209,SAN JOAQUIN,RIPON,3,1,8,1,2,F,1,1
100210,MARIN,UNINCORPORATED,2,1,1,0,3,F,1,0
100211,SONOMA,UNINCORPORATED,7,1,1,0,3,F,1,0
100212,MERCED,UNINCORPORATED,4,1,8,0,3,F,1,0
100213,KERN,UNINCORPORATED,6,1,3,1,3,F,0,0
100214,FRESNO,UNINCORPORATED,7,1,8,1,3,F,1,0
100215,KINGS,UNINCORPORATED,1,1,1,0,4,F,1,0
100216,SANTA CRUZ,UNINCORPORATED,1,1,1,0,4,F,0,0
100217,MONTEREY,UNINCORPORATED,4,1,8,1,4,F,0,1
100218,LOS ANGELES,SANTA MONICA,6,1,3,1,5,F,0,1
100219,FRESNO,UNINCORPORATED,7,1,8,0,5,F,1,1
100220,SAN MATEO,DALY CITY,2,1,8,1,4,F,1,1
100221,SAN JOAQUIN,UNINCORPORATED,5,1,1,1,3,F,0,1
100222,MERCED,UNINCORPORATED,5,1,8,1,4,F,1,0
100223,RIVERSIDE,LAKE ELSINORE,7,1,8,1,5,F,1,0
100224,SAN LUIS OBISPO,UNINCORPORATED,5,1,1,1,4,F,0,0
100225,MODOC,UNINCORPORATED,7,1,8,0,5,F,1,1
100226,COLUSA,UNINCORPORATED,6,1,8,1,4,F,1,1
100227,TULARE,VISALIA,6,1,1,1,4,F,0,0
100228,ORANGE,SANTA ANA,7,1,3,0,4,F,1,0
100229,TEHAMA,UNINCORPORATED,6,1,1,1,5,F,0,0
100230,CONTRA COSTA,RICHMOND,1,1,8,1,5,F,0,1
100231,PLACER,UNINCORPORATED,1,1,3,0,5,F,1,1
100232,SANTA CLARA,CAMPBELL,6,1,8,1,5,F,1,1
100233,TULARE,UNINCORPORATED,5,1,8,1,6,F,0,0
100234,LAKE,UNINCORPORATED,6,1,1,1,3,F,0,0
100235,FRESNO,UNINCORPORATED,1,1,6,1,5,F,1,1
100236,NEVADA,UNINCORPORATED,7,1,8,1,5,F,0,1
100237,SIERRA,UNINCORPORATED,2,1,3,1,6,F,0,1
100238,SAN DIEGO,SAN DIEGO,5,1,3,1,4,F,0,0
100239,CALAVERAS,UNINCORPORATED,3,1,9,1,6,F,1,1
100240,INYO,UNINCORPORATED,4,1,8,0,7,F,1,1
100241,SAN BERNARDINO,HESPERIA,7,1,1,1,2,F,0,0
100242,TUOLUMNE,UNINCORPORATED,3,1,1,1,6,F,1,1
100243,RIVERSIDE,MORENO VALLEY,3,1,3,1,6,F,0,1
100244,INYO,UNINCORPORATED,1,1,8,1,6,F,1,0
100245,SAN BERNARDINO,CHINO,2,1,3,1,7,F,1,0
100246,SOLANO,BENICIA,4,1,1,1,6,F,1,1
100247,KERN,UNINCORPORATED,5,1,8,1,7,F,1,1
100248,SAN JOAQUIN,UNINCORPORATED,7,1,8,1,5,F,0,0
100249,BUTTE,UNINCORPORATED,7,1,1,1,6,F,0,0
100250,FRESNO,UNINCORPORATED,4,1,8,1,6,F,0,1
100251,CALAVERAS,UNINCORPORATED,5,1,1,1,7,F,0,0
100252,MONTEREY,UNINCORPORATED,4,1,8,1,7,F,1,1
100253,SAN BERNARDINO,VICTORVILLE,3,1,1,1,5,F,0,0
100254,MERCED,UNINCORPORATED,6,1,8,1,7,F,1,0
100255,MARIN,UNINCORPORATED,1,1,8,0,7,F,1,1
100256,MONTEREY,UNINCORPORATED,6,1,9,0,6,F,1,1
100257,IMPERIAL,UNINCORPORATED,7,1,1,1,7,F,0,1
100258,NEVADA,UNINCORPORATED,6,1,3,1,7,F,1,1
100259,ALAMEDA,LIVERMORE,4,1,1,1,5,F,1,1
100260,RIVERSIDE,INDIO,7,1,1,1,3,F,0,0
100261,SHASTA,UNINCORPORATED,4,1,8,1,7,F,0,1
100262,FRESNO,UNINCORPORATED,6,1,8,1,2,F,1,1
100263,SAN JOAQUIN,UNINCORPORATED,5,1,1,1,6,F,0,0
100264,SAN JOAQUIN,UNINCORPORATED,2,1,6,1,8,F,1,1
100265,SAN BERNARDINO,APPLE VALLEY,2,1,1,1,3,F,0,0
100266,SAN BERNARDINO,HESPERIA,1,1,8,0,8,F,1,1
100267,TRINITY,UNINCORPORATED,2,1,1,0,6,F,0,0
100268,MADERA,UNINCORPORATED,6,1,8,1,8,F,0,0
100269,MERCED,ATWATER,5,1,3,1,9,F,0,1
100270,LOS ANGELES,PALMDALE,2,1,6,1,6,F,0,1
100271,COLUSA,UNINCORPORATED,6,1,1,1,7,F,1,1
100272,SACRAMENTO,SACRAMENTO,2,1,3,1,8,F,0,1
100273,SAN MATEO,UNINCORPORATED,2,1,1,1,9,F,1,0
100274,SAN LUIS OBISPO,UNINCORPORATED,7,1,8,1,9,F,0,0
100275,MONTEREY,UNINCORPORATED,6,1,8,1,8,F,1,1
100276,STANISLAUS,UNINCORPORATED,1,1,8,0,5,F,1,1
100277,MERCED,UNINCORPORATED,1,1,8,1,8,F,0,0
100278,KINGS,UNINCORPORATED,6,1,8,1,9,F,1,0
100279,KERN,UNINCORPORATED,7,1,8,1,9,F,0,1
100280,LOS ANGELES,SOUTH EL MONTE,3,1,3,1,9,F,1,1
100281,RIVERSIDE,CORONA,3,1,3,1,9,F,1,1
100282,PLACER,UNINCORPORATED,6,1,3,0,9,F,1,1
100283,TULARE,UNINCORPORATED,7,1,8,1,9,F,0,0
100284,SAN BERNARDINO,CHINO,7,1,8,1,7,F,0,1
100285,SOLANO,UNINCORPORATED,1,1,1,1,7,F,0,1
